Kinderhort Rapperswil-Jona Standort Jona,47.2320229,8.8338458
Chinderhuus Surbtal,47.5022699,8.3487971
Chinderhuus Turbenthal,47.4384018,8.8473829
Kinderkrippe Kindertreff,47.5078117,8.7555752
Kindertagesstätte Krokofant,46.9584851,7.4521118
Kita ABC-Kindertreff,47.0799884,8.3407321
ABB Kinderkrippe Müüsliburg,47.495664,8.2535049
ABB Kinderkrippe Villa-Tortuga,47.4809557,8.3043678
ABB Kinderkrippe Zauberdrache,47.4582335,8.2784301
ABB Kinderkrippe Purzelbaum,47.4370428,8.2126476
ABB Kinderkrippe Littlefoot,47.4469528,8.2946546
ABB Kinderkrippe WirnaKids,47.5292315,8.2602301
ABB Kinderkrippe Tschitta,47.471149,8.305431
ABB Kinderkrippe Zwärgehuus ,47.4141987,8.5490712
ABB Kinderkrippe Wichtelburg,47.4639229,8.3118652
ABB Kinderkrippe Chinderdschungel,47.4782273,8.303065
ABB Kinderkrippe Mupfelchischte,47.4142279,8.5384592
ABB Kinderkrippe Camäleon,47.4678194,8.2950373
ABB Kinderkrippe Kakadu,47.4676908,8.2946583
ABB Kinderkrippe Drachenäscht,47.3862431,8.1795773
ABB Hort Gipfelstürmer,47.4779034,8.299451
ABB Kinderkrippe Uhu,47.4997633,8.2626035
Kinderhaus,46.9415472,7.4273638
Kita Wirbelwind,46.941901,7.4004918
KITA Fantasia,46.9389539,7.3862839
Kinderkrippe Albisrieden,47.3735391,8.491592
Kita Aarehüpfer Nidau,47.1218682,7.2448856
Kinderkrippe Schatzinsel,47.4482409,8.5248145
Kinderkrippe Glarus,47.0397244,9.0612798
Chinderhuus Cham,47.1811789,8.4570909
Bläsikrippe ,47.5687348,7.5918172
Klingentalkrippe,47.5641527,7.5950862
Erlenmattkrippe,47.569316,7.6009485
Goldbachkrippe,47.5700247,7.6043477
Chinderhuus Zumikon,47.3316655,8.623475
Kita Himugüegeli,46.9424714,7.4657018
Kinderhaus Seevogtey,47.1343449,8.1910978
Kinderkrippe Wunderstei,47.7113906,8.6375812
Kindertagesstätte Villa ChriBu,47.0588732,7.625473
Kinderhort Klinik Schloss Mammern,47.6415508,8.9224553
Kinderkrippe Nokimuz,47.2759958,8.9133001
Kinderkrippe RasselChischte,47.3711577,8.5262892
Kinderkrippe Pinocchio,47.2287188,8.6640725
Kinderhaus Villa Kunterbunt Frick,47.5047077,8.0223213
